chain,dish,assigned_key,photo_file
82-ALE-HOUSE-GRAND,デュワーズ12年ハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,竹鶴ハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,森香る白州ハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,山崎ハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,余市ハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,82リアルエール 1/2 Pint glass,,(tile)
82-ALE-HOUSE-GRAND,82リアルエール 1 Pint glass,,(tile)
82-ALE-HOUSE-GRAND,ハブクラフト セッションIPA 1/2 Pint glass,,(tile)
82-ALE-HOUSE-GRAND,ハブクラフト セッションIPA 1 Pint glass,,(tile)
82-ALE-HOUSE-GRAND,キリンラガービール 1/2 Pint glass,beer_alcohol,/static/media/food/beer_alcohol.jpg
82-ALE-HOUSE-GRAND,キリンラガービール 1 Pint glass,beer_alcohol,/static/media/food/beer_alcohol.jpg
82-ALE-HOUSE-GRAND,ギネス 1 Pint glass,,(tile)
82-ALE-HOUSE-GRAND,ギネス 1 Pint,,(tile)
82-ALE-HOUSE-GRAND,シャンディガフ,,(tile)
82-ALE-HOUSE-GRAND,シャンディガフ L Size,,(tile)
82-ALE-HOUSE-GRAND,82アップルビア,,(tile)
82-ALE-HOUSE-GRAND,82アップルビア L Size,,(tile)
82-ALE-HOUSE-GRAND,ゲストビール,beer_alcohol,/static/media/food/beer_alcohol.jpg
82-ALE-HOUSE-GRAND,マグナーズ オリジナルサイダー,,(tile)
82-ALE-HOUSE-GRAND,3種飲み比べSET,,(tile)
82-ALE-HOUSE-GRAND,GUEST WHISKY,,(tile)
82-ALE-HOUSE-GRAND,デュワーズ12年,,(tile)
82-ALE-HOUSE-GRAND,デュワーズ12年 L Size,,(tile)
82-ALE-HOUSE-GRAND,シーバスリーガル12年,,(tile)
82-ALE-HOUSE-GRAND,バランタイン17年,,(tile)
82-ALE-HOUSE-GRAND,ザ・ディーコン,,(tile)
82-ALE-HOUSE-GRAND,カナディアンクラブ,,(tile)
82-ALE-HOUSE-GRAND,ブラックニッカ スペシャル,,(tile)
82-ALE-HOUSE-GRAND,ジェムソン,,(tile)
82-ALE-HOUSE-GRAND,ブッシュミルズ オリジナル,,(tile)
82-ALE-HOUSE-GRAND,ブッシュミルズ10年,,(tile)
82-ALE-HOUSE-GRAND,イーガンズ ブレンド,,(tile)
82-ALE-HOUSE-GRAND,ジムビーム,,(tile)
82-ALE-HOUSE-GRAND,フォアローゼズ ブラック,,(tile)
82-ALE-HOUSE-GRAND,メーカーズマーク,,(tile)
82-ALE-HOUSE-GRAND,エンジェルズ エンヴィ,,(tile)
82-ALE-HOUSE-GRAND,ジャックダニエル,,(tile)
82-ALE-HOUSE-GRAND,グレンモーレンジィ オリジナル12年,,(tile)
82-ALE-HOUSE-GRAND,ロイヤル・ブラックラ12年,,(tile)
82-ALE-HOUSE-GRAND,グレンロッキー12年,,(tile)
82-ALE-HOUSE-GRAND,グレンモーレンジィ18年,,(tile)
82-ALE-HOUSE-GRAND,アードベッグ10年,,(tile)
82-ALE-HOUSE-GRAND,アードベッグ10年 L Size,,(tile)
82-ALE-HOUSE-GRAND,リベット ザ・グレンリベット12年,,(tile)
82-ALE-HOUSE-GRAND,リベット ザ・グレンリベット12年 L Size,,(tile)
82-ALE-HOUSE-GRAND,タリスカー10年,,(tile)
82-ALE-HOUSE-GRAND,タリスカー10年 L Size,,(tile)
82-ALE-HOUSE-GRAND,82フルーツハイボール,whisky,/static/media/food/whisky.jpg
82-ALE-HOUSE-GRAND,ザ・グレングラント アルボラリス,,(tile)
